"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","integer_id_rule","type: string","","TCP","socket","","418","T3_network_needs_ext"
"community","io_slave","io_slave","","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","io_slave_always_open","type: string","","SERIAL","pyserial","","418","T1b_serial_probe_tbd"
"community","ip_connection","type: string","","TCP","socket","","1210","T3_network_needs_ext"
"community","iq","IQ","Open Source","UNKNOWN","","<?xml version=\","8","T4_manual_review"
"community","iseg_hv","Iseg HV","ISEG Spezialelektronik","SERIAL","pyserial","","61","T1b_serial_probe_tbd"
"community","isotcp_connection","Generic Isotcp Connection","Open Standard","TCP","socket","","5","T3_network_needs_ext"
"community","it63_xx","It63 XX","ITECH Electronics","SERIAL","pyserial","*IDN?","7","T1_serial_probe_ready"
"community","it8500","ITECH IT8500+ 鍙紪绋嬬洿娴佺數瀛愯礋杞?","ITECH Electronics","VISA_SCPI","lantz/VISA","MEAS:VOLT:DC?","10","T2_visa_needs_rs232_idn"
"community","iv__combined__backend","Generic I-V Combined Measurement Backend 鍚庣鎺у埗鍣?","Open Source","VISA_SCPI","lantz/VISA","","5","T2_visa_needs_rs232_idn"
"community","ix2","Olympus IX2绯诲垪鍊掔疆鐮旂┒鏄惧井闀?","Evident","VISA_SCPI","lantz/VISA","1UNIT?","9","T2_visa_needs_rs232_idn"
"community","ixbx","Olympus IX/BX 绯诲垪鏄惧井闀?鍏夊鏄惧井闀?鏄惧井闀?","Olympus (Evident)","VISA_SCPI","lantz/VISA","1UNIT?","10","T2_visa_needs_rs232_idn"
"community","i_backend","I Backend","Open Source","UNKNOWN","","","25","T4_manual_review"
"community","i_chrome_mle","I Chrome MLE","TOPTICA Photonics","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","i_stream","I Stream","Open Source","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","ja_socket","JA Socket","Open Source","TCP","socket","*IDN?","7","T3_network_needs_ext"
"community","ja_visa","JA Visa","Open Source","VISA_SCPI","lantz/VISA","*IDN?","8","T2_visa_needs_rs232_idn"
"community","julabo1000_f","Discontinued products MAGIO MS-1000F","Julabo","UNKNOWN","","","15","T4_manual_review"
"community","julabo_f32_hd","Discontinued products F32-HL","Julabo","UNKNOWN","","","7","T4_manual_review"
"community","julabo_fp50","Discontinued products FP50-HL","Julabo","UNKNOWN","","","11","T4_manual_review"
"community","k2015","K2015","Keithley Instruments","SERIAL","pyserial","*IDN?","6","T1_serial_probe_ready"
"community","kaxxxxp","Korad KAxxxxP 鍙紪绋嬬洿娴佺數婧?瀹為獙璁惧 鐢垫簮","Korad Technology","VISA_SCPI","lantz/VISA","VOUT1?","9","T2_visa_needs_rs232_idn"
"community","keithley195","Keithley 195/195A System Digital Multimeter","Tektronix","UNKNOWN","","","5","T4_manual_review"
"community","keithley485","Keithley 485 Autoranging Picoammeter","Tektronix","UNKNOWN","","U0X","3","T4_manual_review"
