"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","sr830","Lock In Amplifier - SR830","Stanford Research Systems","VISA_SCPI","lantz/VISA","PHAS?","44","T2_visa_needs_rs232_idn"
"community","sr830_gpib","Stanford SRS SR830 Lock-In Amplifier (GPIB) 锁相放大器","Stanford Research Systems","VISA_SCPI","lantz/VISA","PHAS?","56","T2_visa_needs_rs232_idn"
"community","sr830_serial","Stanford SRS SR830 Lock-In Amplifier (Serial) 锁相放大器","Stanford Research Systems","VISA_SCPI","lantz/VISA","PHAS?","56","T2_visa_needs_rs232_idn"
"community","srs345","Function Generator - DS345","Stanford Research Systems","VISA_SCPI","scpi-framework","AMPL?","4","T2_visa_needs_rs232_idn"
"community","srs830","Stanford Research Systems Srs830 系统 分析仪器 透射电子显微镜","Stanford Research Systems","VISA_SCPI","scpi-framework","SRAT?","22","T2_visa_needs_rs232_idn"
"community","srsdg645","Digital Delay/Pulse Generator - DG645","Stanford Research Systems","VISA_SCPI","scpi-framework","DISP?","17","T2_visa_needs_rs232_idn"
"community","ssh_client","SSH Client","Open Standard (SSH)","TCP","network/rest","","9","T3_network_needs_ext"
"community","standard_frame_source","standard_frame_source","","TCP","socket","","418","T3_network_needs_ext"
"community","star_backend","Starna 用于各种光谱仪的石英样品比色池","华洋科仪","SERIAL","pyserial","","277","T1b_serial_probe_tbd"
"community","static_dds","Generic Static DDS (Direct Digital Synthesizer)","Open Source","UNKNOWN","","","38","T4_manual_review"
"community","step_scan","EPICS Step Scan Controller 控制器","EPICS / Synchrotron","TCP","network-framework","","26","T3_network_needs_ext"
"community","stpdrv","Stpdrv","Open Source","VISA_SCPI","lantz/VISA","t","13","T2_visa_needs_rs232_idn"
"community","stream","stream","","TCP","socket","","418","T3_network_needs_ext"
"community","streamer","Generic Streamer","Open Source","SERIAL","pyserial","","9","T1b_serial_probe_tbd"
"community","streamer_lsl","OpenBCI OpenBCI LSL Data Streamer","OpenBCI","UNKNOWN","","","10","T4_manual_review"
"community","stream_client","Stream","Open Source","TCP","socket","","0","T3_network_needs_ext"
"community","stream_pipe","Stream Pipe","Open Source","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","stream_serial","Stream Serial","Open Standard","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","stream_socket","Stream Socket","Open Standard","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","sutter_device","Sutter Device","Sutter Instrument","SERIAL","pyserial","","11","T1b_serial_probe_tbd"
